instance,k,model,runtime,lb,ub,bb-nodes,simplex-iter,num-vars,num-constrs
sar-size4-roh0p,10,ER-S-Tree,0.02,15.63,15.63,1.0,95.0,184,1859
sar-size4-roh0p,3,ER-S-Tree,0.61,248.43,248.43,30.0,4624.0,184,1859
sar-size4-roh0p,4,ER-S-Tree,0.25,156.0,156.0,1.0,1456.0,184,1859
sar-size4-roh0p,5,ER-S-Tree,0.07,92.54,92.54,1.0,283.0,184,1859
sar-size4-roh0p,6,ER-S-Tree,0.07,66.22,66.22,1.0,346.0,184,1859
sar-size4-roh0p,7,ER-S-Tree,0.02,42.52,42.52,1.0,123.0,184,1859
sar-size4-roh0p,8,ER-S-Tree,0.02,30.74,30.74,1.0,111.0,184,1859
sar-size4-roh0p,9,ER-S-Tree,0.02,22.58,22.58,1.0,105.0,184,1859
sar-size4-roh30p,10,ER-S-Tree,0.01,10.66,10.66,1.0,89.0,184,1859
sar-size4-roh30p,3,ER-S-Tree,0.12,229.23,229.24,1.0,749.0,184,1859
sar-size4-roh30p,4,ER-S-Tree,0.03,123.72,123.72,1.0,285.0,184,1859
sar-size4-roh30p,5,ER-S-Tree,0.02,78.03,78.03,1.0,173.0,184,1859
sar-size4-roh30p,6,ER-S-Tree,0.02,52.22,52.22,1.0,136.0,184,1859
sar-size4-roh30p,7,ER-S-Tree,0.02,37.36,37.36,1.0,122.0,184,1859
sar-size4-roh30p,8,ER-S-Tree,0.01,22.96,22.96,1.0,106.0,184,1859
sar-size4-roh30p,9,ER-S-Tree,0.01,16.75,16.75,1.0,86.0,184,1859
sar-size4-roh60p,10,ER-S-Tree,0.01,5.82,5.82,1.0,56.0,184,1859
sar-size4-roh60p,3,ER-S-Tree,0.37,229.79,229.79,17.0,2639.0,184,1859
sar-size4-roh60p,4,ER-S-Tree,0.24,150.13,150.13,1.0,1225.0,184,1859
sar-size4-roh60p,5,ER-S-Tree,0.08,103.09,103.09,1.0,497.0,184,1859
sar-size4-roh60p,6,ER-S-Tree,0.05,73.82,73.82,1.0,307.0,184,1859
sar-size4-roh60p,7,ER-S-Tree,0.03,48.48,48.48,1.0,197.0,184,1859
sar-size4-roh60p,8,ER-S-Tree,0.01,29.1,29.1,1.0,133.0,184,1859
sar-size4-roh60p,9,ER-S-Tree,0.01,13.46,13.46,1.0,85.0,184,1859
sar-size4-roh90p,10,ER-S-Tree,0.01,15.92,15.92,1.0,67.0,184,1859
sar-size4-roh90p,3,ER-S-Tree,0.39,314.44,314.47,1.0,1836.0,184,1859
sar-size4-roh90p,4,ER-S-Tree,0.52,212.42,212.42,11.0,1959.0,184,1859
sar-size4-roh90p,5,ER-S-Tree,0.13,141.42,141.42,1.0,758.0,184,1859
sar-size4-roh90p,6,ER-S-Tree,0.03,85.45,85.45,1.0,159.0,184,1859
sar-size4-roh90p,7,ER-S-Tree,0.01,56.51,56.51,1.0,100.0,184,1859
sar-size4-roh90p,8,ER-S-Tree,0.01,44.21,44.21,1.0,88.0,184,1859
sar-size4-roh90p,9,ER-S-Tree,0.02,28.22,28.22,1.0,97.0,184,1859
sar-size5-roh0p,10,ER-S-Tree,0.11,91.15,91.15,1.0,456.0,405,7293
sar-size5-roh0p,3,ER-S-Tree,5.05,619.28,619.28,17.0,22245.0,405,7293
sar-size5-roh0p,4,ER-S-Tree,7.77,451.08,451.08,112.0,50274.0,405,7293
sar-size5-roh0p,5,ER-S-Tree,3.46,311.59,311.59,1.0,14757.0,405,7293
sar-size5-roh0p,6,ER-S-Tree,2.38,247.89,247.89,39.0,12398.0,405,7293
sar-size5-roh0p,7,ER-S-Tree,0.52,191.14,191.14,1.0,3266.0,405,7293
sar-size5-roh0p,8,ER-S-Tree,0.63,151.06,151.06,1.0,2929.0,405,7293
sar-size5-roh0p,9,ER-S-Tree,0.2,113.71,113.71,1.0,681.0,405,7293
sar-size5-roh30p,10,ER-S-Tree,0.12,83.75,83.75,1.0,508.0,405,7293
sar-size5-roh30p,3,ER-S-Tree,12.47,644.22,644.22,105.0,71419.0,405,7293
sar-size5-roh30p,4,ER-S-Tree,0.67,330.12,330.14,1.0,4441.0,405,7293
sar-size5-roh30p,5,ER-S-Tree,2.08,265.15,265.15,43.0,10973.0,405,7293
sar-size5-roh30p,6,ER-S-Tree,0.92,201.96,201.96,1.0,4135.0,405,7293
sar-size5-roh30p,7,ER-S-Tree,0.26,151.3,151.3,1.0,964.0,405,7293
sar-size5-roh30p,8,ER-S-Tree,0.18,123.57,123.57,1.0,649.0,405,7293
sar-size5-roh30p,9,ER-S-Tree,0.15,101.36,101.36,1.0,516.0,405,7293
sar-size5-roh60p,10,ER-S-Tree,0.11,82.16,82.16,1.0,432.0,405,7293
sar-size5-roh60p,3,ER-S-Tree,0.7,479.24,479.24,1.0,3271.0,405,7293
sar-size5-roh60p,4,ER-S-Tree,0.55,305.91,305.93,1.0,1947.0,405,7293
sar-size5-roh60p,5,ER-S-Tree,0.98,236.02,236.02,1.0,4297.0,405,7293
sar-size5-roh60p,6,ER-S-Tree,0.68,188.43,188.43,1.0,3120.0,405,7293
sar-size5-roh60p,7,ER-S-Tree,0.37,150.96,150.96,1.0,1528.0,405,7293
