instance,k,model,runtime,lb,ub,bb-nodes,simplex-iter,num-vars,num-constrs
bulgaria,10,ER-S-Tree,2.29,78.6,78.6,25.0,9891.0,526,10325
bulgaria,3,ER-S-Tree,104.97,588.9,588.9,428.0,456331.0,526,10325
bulgaria,4,ER-S-Tree,148.49,388.4,388.4,967.0,551014.0,526,10325
bulgaria,5,ER-S-Tree,341.45,295.7,295.7,2425.0,1153693.0,526,10325
bulgaria,6,ER-S-Tree,27.85,202.8,202.8,364.0,147722.0,526,10325
bulgaria,7,ER-S-Tree,11.37,149.9,149.9,199.0,69541.0,526,10325
bulgaria,8,ER-S-Tree,4.26,114.9,114.9,43.0,19979.0,526,10325
bulgaria,9,ER-S-Tree,2.59,96.0,96.0,54.0,12365.0,526,10325
finnland,10,ER-S-Tree,0.1,7.7,7.7,1.0,495.0,272,3160
finnland,3,ER-S-Tree,0.93,116.4,116.4,17.0,6139.0,272,3160
finnland,4,ER-S-Tree,0.74,63.6,63.6,5.0,4283.0,272,3160
finnland,5,ER-S-Tree,0.86,43.5,43.5,19.0,4804.0,272,3160
finnland,6,ER-S-Tree,0.32,28.4,28.4,1.0,1647.0,272,3160
finnland,7,ER-S-Tree,0.59,21.8,21.8,13.0,3027.0,272,3160
finnland,8,ER-S-Tree,0.24,15.5,15.5,1.0,1217.0,272,3160
finnland,9,ER-S-Tree,0.11,11.3,11.3,1.0,544.0,272,3160
germany,10,ER-S-Tree,57.87,43.5,43.5,797.0,256349.0,960,28329
germany,3,ER-S-Tree,22.61,291.2,291.2,1.0,58026.0,960,28329
germany,4,ER-S-Tree,79.41,187.5,187.5,103.0,224694.0,960,28329
germany,5,ER-S-Tree,134.34,135.9,135.9,293.0,417467.0,960,28329
germany,6,ER-S-Tree,36.79,91.1,91.1,106.0,127100.0,960,28329
germany,7,ER-S-Tree,79.67,72.4,72.4,489.0,307487.0,960,28329
germany,8,ER-S-Tree,57.39,59.0,59.0,479.0,240722.0,960,28329
germany,9,ER-S-Tree,103.51,50.5,50.5,1126.0,410526.0,960,28329
greece,10,ER-S-Tree,70.83,186.3,186.3,440.0,225291.0,883,26161
greece,3,ER-S-Tree,315.1,979.8,979.8,223.0,632567.0,883,26161
greece,4,ER-S-Tree,1000.88,716.9,716.9,1061.0,2059215.0,883,26161
